Time,Amplitude
0,38.13851
1,38.13886
2,38.13872
3,38.13902
4,38.13893
5,38.13851
6,38.13852
7,38.13873
8,38.13898
9,38.13909
10,38.13903
11,38.13871
12,38.13905
13,38.13881
14,38.13925
15,38.13869
16,38.13894
17,38.13862
18,38.13865
19,38.13875
20,38.13844
21,38.13885
22,38.13844
23,38.13853
24,38.13849
25,38.13824
26,38.13819
27,38.13816
28,38.13821
29,38.13801
30,38.13845
31,38.13783
32,38.13795
33,38.13809
34,38.13803
35,38.13787
36,38.1379
37,38.13767
38,38.13817
39,38.13832
40,38.13855
41,38.13867
42,38.13947
43,38.14013
44,38.14125
45,38.14169
46,38.14286
47,38.14453
48,38.1455
49,38.14787
50,38.14918
51,38.15185
52,38.15255
53,38.15387
54,38.15623
55,38.15796
56,38.1606
57,38.16201
58,38.16289
59,38.16596
60,38.1664
61,38.16893
62,38.17015
63,38.17123
64,38.17332
65,38.17451
66,38.1767
67,38.17785
68,38.17952
69,38.18019
70,38.18116
71,38.18287
72,38.18376
73,38.18562
74,38.1864
75,38.18676
76,38.18854
77,38.18884
78,38.19018
79,38.19141
80,38.19151
81,38.19294
82,38.19353
83,38.19468
84,38.19512
85,38.19531
86,38.19627
87,38.19684
88,38.19801
89,38.19829
90,38.19922
91,38.19959
92,38.2
93,38.20058
94,38.20048
95,38.20165
96,38.20183
97,38.20217
98,38.20266
99,38.20301
100,38.2033
101,38.2036
102,38.20386
103,38.20414
104,38.20468
105,38.20509
106,38.20521
107,38.20591
108,38.20591
109,38.20626
110,38.20611
111,38.20602
112,38.20654
113,38.2068
114,38.20698
115,38.20703
116,38.2072
117,38.20737
118,38.20773
119,38.20784
120,38.20782
121,38.20797
122,38.20801
123,38.20818
124,38.20849
125,38.20844
126,38.20858
127,38.20841
128,38.20847
129,38.20882
130,38.20876
131,38.20919
132,38.20856
133,38.20905
134,38.2089
135,38.20876
136,38.2087
137,38.2086
138,38.20908
139,38.209
140,38.20879
141,38.20874
142,38.20892
143,38.20858
144,38.20889
145,38.20853
146,38.20865
147,38.20909
148,38.20877
149,38.20854
150,38.20839
151,38.20831
152,38.20857
153,38.20837
154,38.20822
155,38.20836
156,38.2077
157,38.20794
158,38.20785
159,38.20769
160,38.20775
161,38.20752
162,38.20754
163,38.20727
164,38.20715
165,38.20721
166,38.20707
167,38.20711
168,38.20722
169,38.20726
170,38.20694
171,38.2068
172,38.20658
173,38.20681
174,38.20655
175,38.20647
176,38.20591
177,38.20558
178,38.20626
179,38.20568
180,38.206
181,38.20535
182,38.2054
183,38.20564
184,38.20533
185,38.20522
186,38.20501
187,38.20475
188,38.20454
189,38.20465
190,38.20475
191,38.20484
192,38.20368
193,38.20413
194,38.2037
195,38.20393
196,38.2038
197,38.20365
198,38.20311
199,38.20317
200,38.20344
201,38.20282
202,38.20287
203,38.20283
204,38.20231
205,38.20282
206,38.20261
207,38.20204
208,38.20182
209,38.20198
210,38.20172
211,38.20147
212,38.20177
213,38.20117
214,38.20112
215,38.20061
216,38.20114
217,38.20079
218,38.20049
219,38.20062
220,38.20005
221,38.20053
222,38.19975
223,38.20008
224,38.19998
225,38.19993
226,38.19942
227,38.1996
228,38.19907
229,38.19906
230,38.19896
231,38.19863
232,38.19866
233,38.19827
234,38.19869
235,38.19813
236,38.19823
237,38.19793
238,38.19757
239,38.19751
240,38.19762
241,38.19763
